variant,alpha,ndcg10,ndcg1,ndcg3,ndcg5,ndcg30,ndcg50,ndcg100
V2_OPEN_DOC_only,3.2,0.6192933253662767,0.6572327044025158,0.6711447137015193,0.6545138793886279,0.5386121080665214,0.48055047313403354,0.38972306455515227
V2_OPEN_DOC_only,3.3,0.6177672466567622,0.6572327044025158,0.6711447137015193,0.6539083713908782,0.5386509856090561,0.48043639846548597,0.38980053845690493
V2_OPEN_DOC_only,3.4,0.6198377364743285,0.6572327044025158,0.6711447137015193,0.6549063775490704,0.5384043425028843,0.4802049506806666,0.3897692763974804
V2_OPEN_DOC_only,3.5,0.6190661692697459,0.6572327044025158,0.6711447137015193,0.6544062572795029,0.5373158475567161,0.4799686787454934,0.38956348184191897
V2_OPEN_DOC_only,3.6,0.6202421398250656,0.6572327044025158,0.6711447137015193,0.6536745478129495,0.5370363990887272,0.4794221739467398,0.38958415529168655
V2_OPEN_DOC_only,3.7,0.6202950657904769,0.6572327044025158,0.6711447137015193,0.6536745478129495,0.5366942811867453,0.4792350718369568,0.3896058242015515
V2_OPEN_DOC_only,3.8,0.6216253929234032,0.6572327044025158,0.6716142003355775,0.6540327328201853,0.5369692882644538,0.479275454768429,0.38963534101352326
V2_OPEN_DOC_only,3.9,0.6216607658605148,0.6572327044025158,0.6716142003355775,0.6556831111536737,0.5368508284671328,0.4790827385767026,0.3895989642881145
V2_OPEN_DOC_only,4.0,0.6217240655053521,0.6572327044025158,0.676814220366666,0.6558601080408776,0.5368188025326703,0.4791241931615443,0.3897795844114049
V2_OPEN_DOC_only,4.1,0.6216267766957275,0.6572327044025158,0.676814220366666,0.6542097297073889,0.536557489218937,0.47880343775947726,0.3897421732305358
V2_OPEN_DOC_only,4.2,0.6216351765796202,0.6572327044025158,0.676814220366666,0.6542097297073889,0.5366532420258692,0.4788010100485858,0.38974360383162726
V2_OPEN_DOC_only,4.3,0.6238233884045166,0.6761006289308177,0.6782891896756832,0.6563818537759596,0.5372618635942453,0.47906513612939755,0.39012948729918345
V2_OPEN_DOC_only,4.4,0.6236350690742194,0.6761006289308177,0.6782891896756832,0.6563818537759596,0.5374182786591735,0.47904457033992703,0.3900454128120072
V2_OPEN_DOC_only,4.5,0.6226180083016288,0.6761006289308177,0.677516327437262,0.6561037247998316,0.5379030969661242,0.47895075165423406,0.38998621106859904
V2_OPEN_DOC_only,4.6,0.6227993212685319,0.6761006289308177,0.6793092225632805,0.6562933731942626,0.5383662416072,0.4791362452049691,0.39000722760672335
V2_OPEN_DOC_only,4.7,0.6220522354670267,0.6761006289308177,0.6793092225632805,0.6548611397493578,0.5374251626737511,0.4790994417663806,0.3898888338745135
V2_OPEN_DOC_only,4.8,0.621607343098551,0.6761006289308177,0.6793092225632805,0.6548611397493578,0.5367025124242416,0.47864497145338375,0.38984939664474694
V2_OPEN_DOC_only,4.9,0.6212500195117505,0.6761006289308177,0.6815228014596143,0.6542577595712369,0.5371507196826446,0.47849452261424413,0.38982373968371686
V2_OPEN_DOC_only,5.0,0.6212333484250114,0.6761006289308177,0.6815228014596143,0.6527518064387318,0.5371121946189915,0.4783666205293998,0.38979150798735296
